id_usuario,nombre,apellido,fecha_nacimiento,telefono,email,pais,ciudad,nit,fecha_registro
US35,Usuario35,Apellido35,1976-04-07,33832644,usuario35@gmail.com,Honduras,Ciudad8,287955664,2022-05-24
US36,Usuario36,Apellido36,1980-11-19,32189373,usuario36@gmail.com,Guatemala,Ciudad6,610391144,2020-02-14
US37,Usuario37,Apellido37,1974-06-22,36876265,usuario37@gmail.com,Guatemala,Ciudad1,206459881,2022-03-08
US38,Usuario38,Apellido38,1997-05-17,38872491,usuario38@gmail.com,El Salvador,Ciudad6,838823965,2021-03-20
US39,Usuario39,Apellido39,1991-08-24,39915585,usuario39@gmail.com,Honduras,Ciudad9,285686207,2022-08-22
US40,Usuario40,Apellido40,1971-12-01,38571075,usuario40@gmail.com,Guatemala,Ciudad8,996081197,2022-01-16
US41,Usuario41,Apellido41,1998-07-25,34724152,usuario41@gmail.com,Guatemala,Ciudad5,233018508,2022-09-07
US42,Usuario42,Apellido42,1998-11-12,36347617,usuario42@gmail.com,Panamá,Ciudad3,634510511,2020-01-07
US43,Usuario43,Apellido43,1983-08-06,36519385,usuario43@gmail.com,Nicaragua,Ciudad6,560666458,2023-05-05
US44,Usuario44,Apellido44,1985-08-20,38829473,usuario44@gmail.com,Belice,Ciudad1,330568954,2022-04-23
US45,Usuario45,Apellido45,1993-08-16,31785153,usuario45@gmail.com,El Salvador,Capital,439442275,2023-07-23
US46,Usuario46,Apellido46,1998-08-15,32858410,usuario46@gmail.com,Honduras,Ciudad9,353207955,2022-11-09
US47,Usuario47,Apellido47,1977-11-23,37615205,usuario47@gmail.com,El Salvador,Ciudad3,928385554,2022-07-03
US48,Usuario48,Apellido48,1995-03-17,34980653,usuario48@gmail.com,Nicaragua,Ciudad5,100529162,2021-01-23
US49,Usuario49,Apellido49,1981-06-13,38768536,usuario49@gmail.com,Costa Rica,Ciudad2,989240297,2020-03-14
US50,Usuario50,Apellido50,1989-11-26,34139288,usuario50@gmail.com,El Salvador,Ciudad2,443604986,2021-03-14
US51,Usuario51,Apellido51,1970-09-12,39121909,usuario51@gmail.com,Nicaragua,Ciudad5,107740933,2021-01-07
US52,Usuario52,Apellido52,1994-06-14,36614409,usuario52@gmail.com,Nicaragua,Ciudad5,816739126,2020-08-11
US53,Usuario53,Apellido53,1978-06-16,30178812,usuario53@gmail.com,Panamá,Ciudad8,915925581,2021-06-01
US54,Usuario54,Apellido54,1989-09-11,39014327,usuario54@gmail.com,Costa Rica,Ciudad9,793485505,2021-03-12
US55,Usuario55,Apellido55,1999-09-21,37354989,usuario55@gmail.com,Panamá,Ciudad7,492904035,2022-06-28
US56,Usuario56,Apellido56,1988-08-17,34414021,usuario56@gmail.com,Honduras,Ciudad7,494294063,2022-02-22
US57,Usuario57,Apellido57,1987-03-22,31526335,usuario57@gmail.com,Costa Rica,Ciudad8,227299185,2020-04-12
US58,Usuario58,Apellido58,1983-02-19,30261862,usuario58@gmail.com,Nicaragua,Ciudad7,591376777,2023-11-13
US59,Usuario59,Apellido59,1995-09-25,31524118,usuario59@gmail.com,El Salvador,Ciudad4,152701757,2021-09-22
US60,Usuario60,Apellido60,1974-02-16,33862398,usuario60@gmail.com,Honduras,Ciudad1,147444823,2020-11-22
US61,Usuario61,Apellido61,1995-07-24,33498292,usuario61@gmail.com,Nicaragua,Ciudad3,467554068,2020-09-05
US62,Usuario62,Apellido62,1986-07-18,31674596,usuario62@gmail.com,Guatemala,Ciudad9,668837461,2022-08-19
US63,Usuario63,Apellido63,1975-09-23,30814269,usuario63@gmail.com,Panamá,Ciudad9,552780988,2020-04-22
US64,Usuario64,Apellido64,1998-08-03,35061890,usuario64@gmail.com,Nicaragua,Ciudad3,817492612,2023-08-06
US65,Usuario65,Apellido65,1980-07-03,33388345,usuario65@gmail.com,Costa Rica,Ciudad4,255276476,2020-07-03
US66,Usuario66,Apellido66,1993-05-15,31321002,usuario66@gmail.com,Nicaragua,Ciudad1,823462938,2021-06-08
US67,Usuario67,Apellido67,1997-03-04,31918105,usuario67@gmail.com,Belice,Ciudad3,226094122,2023-08-19
US68,Usuario68,Apellido68,1991-05-27,34096953,usuario68@gmail.com,Belice,Ciudad9,738337127,2022-02-04
US69,Usuario69,Apellido69,1987-11-25,37042201,usuario69@gmail.com,Nicaragua,Ciudad5,410295282,2021-04-10
US70,Usuario70,Apellido70,1989-08-07,35009912,usuario70@gmail.com,El Salvador,Ciudad6,456058430,2021-04-12
US71,Usuario71,Apellido71,1999-01-19,38885039,usuario71@gmail.com,Panamá,Ciudad3,725419802,2023-03-03
US72,Usuario72,Apellido72,1970-05-26,30152410,usuario72@gmail.com,Honduras,Capital,442695961,2020-08-04
US73,Usuario73,Apellido73,1971-05-19,32348408,usuario73@gmail.com,Guatemala,Ciudad7,950509884,2020-02-08
US74,Usuario74,Apellido74,1984-04-21,32146416,usuario74@gmail.com,Belice,Ciudad5,422212802,2020-05-23
US75,Usuario75,Apellido75,1995-12-15,35780831,usuario75@gmail.com,Costa Rica,Ciudad5,645646015,2020-01-16
US76,Usuario76,Apellido76,1973-10-22,33519659,usuario76@gmail.com,El Salvador,Ciudad5,846972364,2022-11-18
US77,Usuario77,Apellido77,1974-11-18,37792071,usuario77@gmail.com,Nicaragua,Ciudad8,148029400,2023-03-16
US78,Usuario78,Apellido78,1979-11-05,35333481,usuario78@gmail.com,Nicaragua,Ciudad7,161632976,2021-10-24
US79,Usuario79,Apellido79,1987-03-26,31628195,usuario79@gmail.com,Honduras,Capital,970209809,2020-11-13
US80,Usuario80,Apellido80,1978-05-24,38871001,usuario80@gmail.com,Honduras,Ciudad5,510276164,2021-05-15
US81,Usuario81,Apellido81,1976-04-18,32271535,usuario81@gmail.com,Costa Rica,Ciudad1,859291564,2021-03-03
US82,Usuario82,Apellido82,1970-03-20,33206174,usuario82@gmail.com,Nicaragua,Ciudad9,749296320,2020-07-28
US83,Usuario83,Apellido83,1973-01-27,30722914,usuario83@gmail.com,Honduras,Ciudad2,342676440,2021-03-04
US84,Usuario84,Apellido84,1974-02-05,35427445,usuario84@gmail.com,Panamá,Ciudad2,287145599,2020-08-07
US85,Usuario85,Apellido85,1993-03-07,36549249,usuario85@gmail.com,Honduras,Ciudad6,680349755,2020-12-06
US86,Usuario86,Apellido86,1994-10-21,36569034,usuario86@gmail.com,Belice,Ciudad5,357345203,2021-11-08
US87,Usuario87,Apellido87,1993-03-12,36394849,usuario87@gmail.com,El Salvador,Ciudad5,749392850,2020-03-21
US88,Usuario88,Apellido88,1976-06-21,36811156,usuario88@gmail.com,Honduras,Ciudad5,195452385,2021-04-01
US89,Usuario89,Apellido89,1981-11-15,39856123,usuario89@gmail.com,Costa Rica,Ciudad3,927066929,2022-02-12
US90,Usuario90,Apellido90,1976-11-25,32470462,usuario90@gmail.com,Honduras,Ciudad5,208566059,2023-06-08
US91,Usuario91,Apellido91,1972-12-10,31825205,usuario91@gmail.com,Guatemala,Ciudad5,518850140,2022-01-23
US92,Usuario92,Apellido92,1984-06-11,36886293,usuario92@gmail.com,Nicaragua,Ciudad1,654802674,2021-02-07
US93,Usuario93,Apellido93,1981-10-21,36489035,usuario93@gmail.com,Costa Rica,Ciudad8,965949510,2021-08-22
US94,Usuario94,Apellido94,1992-12-26,34486185,usuario94@gmail.com,Belice,Ciudad2,975864361,2022-12-03
US95,Usuario95,Apellido95,1981-09-03,33167300,usuario95@gmail.com,Honduras,Ciudad8,231679933,2023-07-28
US96,Usuario96,Apellido96,1976-12-01,39382166,usuario96@gmail.com,Guatemala,Ciudad5,840706182,2022-10-04
US97,Usuario97,Apellido97,1972-11-14,31644927,usuario97@gmail.com,Nicaragua,Ciudad6,382689347,2022-06-07
US98,Usuario98,Apellido98,1998-01-11,31267053,usuario98@gmail.com,Costa Rica,Ciudad1,547042285,2021-03-06
US99,Usuario99,Apellido99,1995-06-11,35092260,usuario99@gmail.com,Panamá,Ciudad9,198654893,2022-04-11
US100,Usuario100,Apellido100,1993-11-23,35370103,usuario100@gmail.com,El Salvador,Ciudad2,963546508,2023-06-15
US101,Usuario101,Apellido101,1990-07-04,32155300,usuario101@gmail.com,Costa Rica,Ciudad1,171836961,2020-08-22
US102,Usuario102,Apellido102,1971-08-05,37879853,usuario102@gmail.com,El Salvador,Capital,925194789,2021-05-02
US103,Usuario103,Apellido103,1973-07-20,38184740,usuario103@gmail.com,El Salvador,Ciudad1,401126475,2023-09-08
US104,Usuario104,Apellido104,1999-07-17,39986391,usuario104@gmail.com,Honduras,Ciudad1,504094628,2022-08-22
US105,Usuario105,Apellido105,1978-01-11,31117639,usuario105@gmail.com,Nicaragua,Ciudad3,254380777,2021-11-21
US106,Usuario106,Apellido106,1972-11-07,34131861,usuario106@gmail.com,Panamá,Ciudad4,438382810,2021-11-14
US107,Usuario107,Apellido107,1984-10-15,36380624,usuario107@gmail.com,Honduras,Capital,873144000,2022-09-28
US108,Usuario108,Apellido108,1987-09-25,36678732,usuario108@gmail.com,Honduras,Ciudad5,883615716,2023-05-24
US109,Usuario109,Apellido109,1970-05-10,34658753,usuario109@gmail.com,Guatemala,Ciudad3,230701997,2021-03-20
US110,Usuario110,Apellido110,1998-07-16,30050044,usuario110@gmail.com,Nicaragua,Ciudad9,970241966,2023-07-28
US111,Usuario111,Apellido111,1997-05-27,39320309,usuario111@gmail.com,Belice,Ciudad1,775747789,2020-08-17
US112,Usuario112,Apellido112,1972-03-08,33235598,usuario112@gmail.com,Guatemala,Ciudad3,345765171,2023-07-20
US113,Usuario113,Apellido113,1996-05-25,31405587,usuario113@gmail.com,Nicaragua,Ciudad8,132567256,2021-02-22
US114,Usuario114,Apellido114,1978-06-16,34882683,usuario114@gmail.com,Panamá,Ciudad9,714660360,2022-02-08
US115,Usuario115,Apellido115,1990-08-10,35516600,usuario115@gmail.com,Guatemala,Ciudad8,775168039,2020-10-18
US116,Usuario116,Apellido116,1995-02-22,35002579,usuario116@gmail.com,Honduras,Ciudad9,573762305,2020-09-13
US117,Usuario117,Apellido117,1993-12-01,39780573,usuario117@gmail.com,Panamá,Ciudad2,234682214,2023-12-03
US118,Usuario118,Apellido118,1999-02-05,30758659,usuario118@gmail.com,El Salvador,Ciudad6,374017664,2021-09-01
US119,Usuario119,Apellido119,1985-10-01,36836484,usuario119@gmail.com,El Salvador,Ciudad3,433656136,2022-11-27
US120,Usuario120,Apellido120,1981-11-11,35498230,usuario120@gmail.com,Belice,Ciudad9,928807356,2021-10-04
US121,Usuario121,Apellido121,1999-07-25,32775884,usuario121@gmail.com,Belice,Ciudad9,640970561,2022-09-03
US122,Usuario122,Apellido122,1999-01-09,33240287,usuario122@gmail.com,Panamá,Ciudad1,730615468,2023-06-05
US123,Usuario123,Apellido123,1992-09-02,36150182,usuario123@gmail.com,Belice,Ciudad5,678972192,2020-04-09
US124,Usuario124,Apellido124,1991-10-18,34776277,usuario124@gmail.com,Costa Rica,Ciudad5,107009452,2021-09-14
US125,Usuario125,Apellido125,1992-06-19,30138220,usuario125@gmail.com,Panamá,Ciudad8,279495162,2022-04-15
US126,Usuario126,Apellido126,1975-04-21,39659257,usuario126@gmail.com,Belice,Ciudad2,562790772,2022-07-03
US127,Usuario127,Apellido127,1986-04-28,32204795,usuario127@gmail.com,Honduras,Ciudad5,353528134,2021-07-09
US128,Usuario128,Apellido128,1991-06-17,37440700,usuario128@gmail.com,Guatemala,Capital,101877356,2022-06-12
US129,Usuario129,Apellido129,1979-10-10,37417252,usuario129@gmail.com,Guatemala,Ciudad1,205944097,2020-06-20
US130,Usuario130,Apellido130,1971-10-20,36797372,usuario130@gmail.com,Costa Rica,Capital,363487266,2022-05-12
US131,Usuario131,Apellido131,1980-01-04,34136041,usuario131@gmail.com,Belice,Ciudad8,471935461,2022-09-09
US132,Usuario132,Apellido132,1974-06-23,33253280,usuario132@gmail.com,Belice,Ciudad3,971221135,2022-04-19
US133,Usuario133,Apellido133,1981-06-04,30325778,usuario133@gmail.com,Belice,Ciudad8,729061800,2023-01-25
US134,Usuario134,Apellido134,1994-08-05,38967714,usuario134@gmail.com,Nicaragua,Ciudad3,498537288,2020-10-28
US135,Usuario135,Apellido135,1998-12-27,33929978,usuario135@gmail.com,Costa Rica,Ciudad2,324348020,2021-02-04
US136,Usuario136,Apellido136,1990-10-15,39473900,usuario136@gmail.com,Belice,Ciudad9,603257331,2021-07-27
US137,Usuario137,Apellido137,1970-04-21,37641539,usuario137@gmail.com,Guatemala,Ciudad3,662761735,2023-02-12
US138,Usuario138,Apellido138,1984-09-15,33943121,usuario138@gmail.com,Belice,Ciudad2,115845137,2020-10-17
US139,Usuario139,Apellido139,1977-02-15,39393740,usuario139@gmail.com,Belice,Ciudad2,738446115,2021-08-20
US140,Usuario140,Apellido140,1994-04-25,39022677,usuario140@gmail.com,Honduras,Ciudad6,215628448,2023-11-11
US141,Usuario141,Apellido141,1975-09-25,37786484,usuario141@gmail.com,El Salvador,Ciudad2,731308742,2020-04-26
US142,Usuario142,Apellido142,1995-03-15,39192895,usuario142@gmail.com,Belice,Ciudad6,598582671,2022-09-02
US143,Usuario143,Apellido143,1976-10-14,32762430,usuario143@gmail.com,Belice,Ciudad7,245378295,2020-01-27
US144,Usuario144,Apellido144,1982-01-17,31716376,usuario144@gmail.com,Honduras,Ciudad1,261902883,2022-11-24
US145,Usuario145,Apellido145,1983-05-21,36234057,usuario145@gmail.com,Honduras,Ciudad7,724178026,2023-05-08
US146,Usuario146,Apellido146,1970-10-14,32804750,usuario146@gmail.com,Honduras,Ciudad4,779891263,2023-06-05
US147,Usuario147,Apellido147,1979-11-06,30857989,usuario147@gmail.com,Nicaragua,Ciudad9,741422351,2020-04-02
US148,Usuario148,Apellido148,1994-01-19,32226262,usuario148@gmail.com,Honduras,Ciudad8,829031489,2020-08-09
US149,Usuario149,Apellido149,1980-08-27,32486007,usuario149@gmail.com,Belice,Ciudad1,225641376,2020-12-05
US150,Usuario150,Apellido150,1986-08-09,31860401,usuario150@gmail.com,Nicaragua,Ciudad8,201382670,2021-03-21
US151,Usuario151,Apellido151,1976-05-19,32553823,usuario151@gmail.com,Costa Rica,Ciudad3,852188404,2020-07-25
US152,Usuario152,Apellido152,1991-10-14,30071936,usuario152@gmail.com,Guatemala,Ciudad8,116060076,2020-05-14
US153,Usuario153,Apellido153,1975-06-25,34713812,usuario153@gmail.com,Panamá,Ciudad4,301010617,2021-07-02
US154,Usuario154,Apellido154,1977-07-11,38175767,usuario154@gmail.com,Panamá,Capital,420369349,2021-03-17
US155,Usuario155,Apellido155,1975-01-24,31206297,usuario155@gmail.com,Honduras,Ciudad1,252753082,2023-04-13
US156,Usuario156,Apellido156,1984-05-03,36817904,usuario156@gmail.com,Panamá,Ciudad9,809320106,2021-11-22
US157,Usuario157,Apellido157,1984-07-04,33819668,usuario157@gmail.com,Belice,Ciudad5,939164920,2022-09-07
US158,Usuario158,Apellido158,1980-10-02,36648608,usuario158@gmail.com,Honduras,Ciudad1,970172766,2022-07-27
US159,Usuario159,Apellido159,1980-11-01,38484716,usuario159@gmail.com,Guatemala,Ciudad2,881985188,2023-04-22
US160,Usuario160,Apellido160,1999-11-08,34895066,usuario160@gmail.com,Nicaragua,Ciudad4,332985283,2021-09-24
US161,Usuario161,Apellido161,1972-09-19,33595247,usuario161@gmail.com,El Salvador,Ciudad2,218434028,2021-11-21
US162,Usuario162,Apellido162,1982-02-15,31477360,usuario162@gmail.com,Panamá,Capital,848062804,2020-01-16
US163,Usuario163,Apellido163,1970-12-17,38791463,usuario163@gmail.com,Nicaragua,Ciudad6,542891715,2022-12-15
US164,Usuario164,Apellido164,1999-02-28,32102146,usuario164@gmail.com,El Salvador,Ciudad4,770527257,2022-03-27
US165,Usuario165,Apellido165,1997-07-25,32842027,usuario165@gmail.com,Honduras,Ciudad5,340144593,2021-07-06
US166,Usuario166,Apellido166,1979-03-28,38146393,usuario166@gmail.com,Panamá,Ciudad7,438028164,2021-05-17
US167,Usuario167,Apellido167,1974-02-07,35424362,usuario167@gmail.com,El Salvador,Capital,450942507,2020-02-23
US168,Usuario168,Apellido168,1970-04-12,30731323,usuario168@gmail.com,Nicaragua,Ciudad2,368334352,2023-08-13
US169,Usuario169,Apellido169,1986-09-04,36107233,usuario169@gmail.com,El Salvador,Ciudad9,208478701,2023-11-24
US170,Usuario170,Apellido170,1988-10-21,32070406,usuario170@gmail.com,El Salvador,Capital,626827792,2020-10-19
US171,Usuario171,Apellido171,1974-02-17,33381645,usuario171@gmail.com,Belice,Ciudad4,742209155,2022-08-10
US172,Usuario172,Apellido172,1996-02-28,33414599,usuario172@gmail.com,Panamá,Ciudad6,993492478,2020-07-04
US173,Usuario173,Apellido173,1976-04-05,39467273,usuario173@gmail.com,El Salvador,Ciudad9,288614862,2022-12-20
US174,Usuario174,Apellido174,1975-07-18,36262484,usuario174@gmail.com,Panamá,Ciudad7,100422352,2022-04-27
US175,Usuario175,Apellido175,1982-10-28,35284853,usuario175@gmail.com,Nicaragua,Capital,711567549,2020-12-09
US176,Usuario176,Apellido176,1999-03-16,31496325,usuario176@gmail.com,Nicaragua,Ciudad2,344685289,2020-11-02
US177,Usuario177,Apellido177,1985-11-20,39585218,usuario177@gmail.com,Panamá,Ciudad3,535020295,2021-05-14
US178,Usuario178,Apellido178,1985-05-24,38881934,usuario178@gmail.com,Guatemala,Ciudad9,317889714,2023-03-15
US179,Usuario179,Apellido179,1984-02-22,33349534,usuario179@gmail.com,Costa Rica,Ciudad1,776134361,2020-01-17
US180,Usuario180,Apellido180,1989-04-18,34830892,usuario180@gmail.com,Panamá,Ciudad3,317905059,2023-01-21
US181,Usuario181,Apellido181,1986-09-27,36258039,usuario181@gmail.com,Belice,Ciudad6,663603739,2021-02-20
US182,Usuario182,Apellido182,1974-02-03,38967332,usuario182@gmail.com,Costa Rica,Ciudad1,569012079,2022-11-23
US183,Usuario183,Apellido183,1970-11-04,34767398,usuario183@gmail.com,Nicaragua,Ciudad4,148984810,2020-08-18
US184,Usuario184,Apellido184,1994-06-06,34072846,usuario184@gmail.com,El Salvador,Ciudad9,681101144,2021-12-20
US185,Usuario185,Apellido185,1973-09-27,33344544,usuario185@gmail.com,Belice,Capital,209063233,2022-08-25
US186,Usuario186,Apellido186,1995-12-06,35105229,usuario186@gmail.com,Panamá,Ciudad2,784959535,2023-12-28
US187,Usuario187,Apellido187,1994-09-09,35157824,usuario187@gmail.com,Panamá,Ciudad5,469281447,2023-06-21
US188,Usuario188,Apellido188,1982-05-01,33734342,usuario188@gmail.com,El Salvador,Ciudad3,644479643,2023-10-18
US189,Usuario189,Apellido189,1971-12-11,30741250,usuario189@gmail.com,Costa Rica,Ciudad2,388388373,2023-09-03
US190,Usuario190,Apellido190,1987-04-12,34689536,usuario190@gmail.com,Belice,Ciudad5,252262724,2020-07-04
US191,Usuario191,Apellido191,1990-01-14,37874645,usuario191@gmail.com,Honduras,Ciudad4,542129031,2020-07-22
US192,Usuario192,Apellido192,1991-05-01,38759015,usuario192@gmail.com,Panamá,Ciudad1,569124070,2020-01-28
US193,Usuario193,Apellido193,1993-10-11,32215864,usuario193@gmail.com,Belice,Ciudad6,775503693,2022-10-05
US194,Usuario194,Apellido194,1988-12-09,32310455,usuario194@gmail.com,Costa Rica,Ciudad4,557268272,2023-12-14
US195,Usuario195,Apellido195,1985-04-10,35304276,usuario195@gmail.com,Panamá,Ciudad4,650945032,2023-04-15
US196,Usuario196,Apellido196,1978-04-18,39050824,usuario196@gmail.com,Costa Rica,Ciudad8,608225018,2022-07-26
US197,Usuario197,Apellido197,1985-10-05,37807551,usuario197@gmail.com,Honduras,Ciudad3,798597210,2023-05-01
US198,Usuario198,Apellido198,1997-11-20,36505983,usuario198@gmail.com,Nicaragua,Capital,897814909,2021-03-17
US199,Usuario199,Apellido199,1983-06-05,34223260,usuario199@gmail.com,El Salvador,Ciudad6,748687135,2020-07-12
US200,Usuario200,Apellido200,1980-04-14,33336091,usuario200@gmail.com,Honduras,Ciudad4,861966106,2020-12-16
US201,Usuario201,Apellido201,1996-11-02,38285749,usuario201@gmail.com,El Salvador,Ciudad9,393755023,2022-03-27
US202,Usuario202,Apellido202,1983-12-05,36549043,usuario202@gmail.com,Honduras,Ciudad5,960413492,2023-12-09
US203,Usuario203,Apellido203,1989-06-21,38082615,usuario203@gmail.com,Belice,Capital,364280759,2021-06-10
US204,Usuario204,Apellido204,1980-01-12,33942983,usuario204@gmail.com,Nicaragua,Ciudad2,153860403,2020-01-14
US205,Usuario205,Apellido205,1982-09-26,39640479,usuario205@gmail.com,Nicaragua,Ciudad8,373819587,2023-05-10
US206,Usuario206,Apellido206,1992-10-22,32035911,usuario206@gmail.com,El Salvador,Capital,358994186,2022-08-22
US207,Usuario207,Apellido207,1972-03-12,36021312,usuario207@gmail.com,El Salvador,Ciudad9,815780429,2023-01-03
US208,Usuario208,Apellido208,1981-04-05,34579277,usuario208@gmail.com,Honduras,Capital,351674719,2023-10-28
US209,Usuario209,Apellido209,1974-08-04,35964026,usuario209@gmail.com,El Salvador,Ciudad2,167335056,2020-05-24
US210,Usuario210,Apellido210,1994-05-03,38337161,usuario210@gmail.com,Nicaragua,Capital,113224535,2023-11-25
US211,Usuario211,Apellido211,1999-01-25,31013617,usuario211@gmail.com,Panamá,Ciudad9,884493937,2023-06-25
US212,Usuario212,Apellido212,1994-01-26,30810417,usuario212@gmail.com,Guatemala,Ciudad6,958458150,2023-11-28
US213,Usuario213,Apellido213,1997-10-18,30023809,usuario213@gmail.com,Panamá,Ciudad3,746602394,2020-02-14
US214,Usuario214,Apellido214,1980-06-05,38695356,usuario214@gmail.com,El Salvador,Ciudad5,404305295,2022-11-17
US215,Usuario215,Apellido215,1981-07-11,35791744,usuario215@gmail.com,Nicaragua,Ciudad9,135061705,2020-11-14
US216,Usuario216,Apellido216,1987-07-21,37927745,usuario216@gmail.com,Nicaragua,Ciudad9,856114586,2020-10-20
US217,Usuario217,Apellido217,1970-04-03,34354525,usuario217@gmail.com,Honduras,Ciudad7,962055981,2021-09-05
US218,Usuario218,Apellido218,1978-05-27,30124880,usuario218@gmail.com,Costa Rica,Ciudad9,279885284,2023-09-23
US219,Usuario219,Apellido219,1999-07-18,34666713,usuario219@gmail.com,El Salvador,Ciudad6,152295073,2021-03-28
US220,Usuario220,Apellido220,1994-02-07,31255339,usuario220@gmail.com,Honduras,Ciudad1,337561844,2022-06-21
US221,Usuario221,Apellido221,1982-05-24,34475447,usuario221@gmail.com,Nicaragua,Ciudad9,482905039,2023-11-24
US222,Usuario222,Apellido222,1978-07-14,31293267,usuario222@gmail.com,Honduras,Ciudad6,576242171,2023-12-04
US223,Usuario223,Apellido223,1990-09-11,38876659,usuario223@gmail.com,Honduras,Capital,770179174,2023-05-06
US224,Usuario224,Apellido224,1978-11-17,37264792,usuario224@gmail.com,El Salvador,Ciudad7,519763046,2022-11-20
US225,Usuario225,Apellido225,1982-09-24,34468570,usuario225@gmail.com,Honduras,Ciudad3,223051447,2022-03-02
US226,Usuario226,Apellido226,1975-07-26,32991049,usuario226@gmail.com,El Salvador,Ciudad7,753033075,2022-07-17
US227,Usuario227,Apellido227,1989-07-09,39231366,usuario227@gmail.com,Belice,Ciudad7,893762117,2020-04-10
US228,Usuario228,Apellido228,1992-09-14,31182814,usuario228@gmail.com,Belice,Ciudad6,401491760,2023-02-14
US229,Usuario229,Apellido229,1990-05-17,35802850,usuario229@gmail.com,El Salvador,Ciudad2,605446496,2023-03-11
US230,Usuario230,Apellido230,1994-05-13,35409268,usuario230@gmail.com,Belice,Ciudad7,462387208,2020-06-04
